@id,name,highway
10159349,Murton Green Road,tertiary
10159423,Manselfield Road,tertiary
10159589,Oldway,tertiary
10159674,Lime Kiln Lane,residential
10159699,Lime Kiln Lane,residential
10159855,Tudor Way,residential
10159906,Kilfield Road,residential
10159950,Kilfield Road,residential
10160219,Pyle Road,tertiary
10160325,Bishopston Road,tertiary
10160480,Church Lane,unclassified
10160613,The Glebe,residential
10160671,Wellfield,residential
10160792,Providence Lane,unclassified
10161011,School Lane,unclassified
10237816,South Close,residential
10237985,Vensland,residential
10238288,Gerret's Close,residential
10238741,Caswell Bay Road,tertiary
10238945,Hilland Drive,residential
10243865,Eastlands Park,residential
10243940,Eastlands Park,residential
10243964,Eastlands Park,residential
10244365,Whitestone Road,residential
10244395,Whitestone Avenue,residential
10244762,Hunter's Lane,bridleway
10262771,Brandy Cove Road,residential
10262806,PwllDu Lane,residential
10262819,Pwlldu Lane,unclassified
10262844,Backingstone Lane,unclassified
10262954,Brandy Cove Lane,unclassified
10262979,Old Kittle Road,unclassified
10275640,Woodside Close,residential
10275648,Ridley Way,residential
10275696,Broadmead Crescent,residential
10304747,Northway Court,residential
10304765,Northlands Park,residential
10304767,Northlands Park,residential
10304801,The Chestnuts,residential
10304902,Long Acre Court,residential
10304910,Long Acre,residential
10305464,Headland Road,residential
10305466,Headland Close,residential
10305492,Middle Croft Lane,unclassified
10305824,St. Teilo's Court,unclassified
10357370,Copley Lodge,residential
10357376,Copley Close,unclassified
10357411,Tudor Court,residential
10357412,Long Acre,residential
10426689,Manselfield Road,tertiary
10446859,Oldway,unclassified
10753724,Reigit Lane,unclassified
10753753,Reigit Lane,residential
12099312,Caswell Road,secondary
12313324,Hilland Drive,residential
12501588,Eastlands Park,residential
12501715,Eastlands Park,residential
12501812,Eastlands Park,residential
12502639,Withy Park,residential
12502795,Tudor Court,residential
13482432,South Close,residential
16355922,Northway,secondary
16356001,Pennard Road,secondary
19972796,Hunter's Lane,bridleway
22663184,Withy Park,residential
22663185,Withy Park,residential
22663186,Vensland,residential
22663192,Whitestone Avenue,residential
22663194,Backingstone Lane,unclassified
24389209,Mansel Drive,residential
24389210,Reigit Lane,unclassified
24389213,Miles Lane,unclassified
28400600,Portway,residential
30417510,Oldway,tertiary
30417512,Oldway,tertiary
30417608,Bishopston Road,tertiary
30417610,Bishopston Road,tertiary
34307390,Manselfield Road,unclassified
34307424,Manselfield Road,unclassified
34307426,Manselfield Road,residential
35392239,Manselfield Road,unclassified
35392240,Manselfield Road,residential
42973796,Pennard Road,secondary
59148645,Northway,secondary
89731986,Caswell Road,tertiary
128394562,Pyle Court,residential
261406671,Kilfield Road,residential
261509030,Whitestone Road,residential
261509035,Whitestone Road,residential
306492922,Caswell Road,tertiary
306492924,Caswell Road,secondary
352393621,Clyne Common,secondary
374891032,Caswell Road,tertiary
374891050,Caswell Road,secondary
672041709,Mansel Drive,residential
739822152,White Knight Gardens,residential
771295146,Tudor Court,residential
771295147,Tudor Court,residential
773840051,Pwlldu Lane,unclassified
773840052,Brandy Cove Road,residential
773840053,Bishopston Road,tertiary
965083296,Kilfield Road,residential
965083297,Kilfield Road,residential
966979351,Northlands Park,residential
1190383684,Caswell Road,tertiary
1214024746,Oldway,tertiary
1218072781,PwllDu Lane,residential
1222942117,PwllDu Lane,residential
1225149664,Oldway,tertiary
