@id,name,highway
4541816,Oystermouth Road,primary
4570971,Beach Street,unclassified
4597296,Carmarthen Road,primary
4597297,Carmarthen Road,primary
5364660,Dyfatty Street,primary
5666761,Guildhall Road South,secondary
5666762,Saint Helen's Road,secondary
5666763,Saint Helen's Road,residential
5666764,Bond Street,residential
5666767,The Kingsway,tertiary
5712257,New Cut Road,primary
5712262,Llangyfelach Street,secondary
5712399,Phillip's Parade,pedestrian
7817453,Parc Tawe Link Road,tertiary
9473193,West Way,tertiary
9473194,Wellington Street,unclassified
9527811,Upper High Street,secondary
9527812,College Street,secondary
10245076,Prince Of Wales Road,residential
10245148,John Street,unclassified
10260148,Christina Street,secondary
10298186,Gors Avenue,tertiary
10305104,Bridge Street,secondary
10305508,Pentre Mawr Road,tertiary
10305517,Ysgubor Fach Street,tertiary
11088126,Castle Bailey Street,pedestrian
11088163,Castle Street,secondary
11089071,The Strand,tertiary
11089503,Glamorgan Street,residential
11260545,Quay Parade,primary
11356355,Quay Parade,primary
11359644,New Cut Road,primary
11359735,New Cut Road,primary
12504235,Guildhall Road South,secondary
12504949,Catherine Street,residential
12628117,Albert Row,unclassified
12628853,Albert Row,unclassified
12628973,Albert Row,unclassified
12629153,Albert Row,unclassified
12630171,Argyle Street,residential
13304339,Nicholl Street,residential
13443699,Oxford Street,unclassified
13443908,Beach Street,residential
13449572,The Kingsway,tertiary
13451018,Mansel Street,primary
13632858,Western Street,residential
13632910,Little Gam Street,residential
13634861,Victoria Avenue,residential
13635017,Vincent Street,residential
13635162,Burrows Road,pedestrian
13635176,Burrows Road,residential
13635178,Rodney Street,residential
13635180,Richardson Road,residential
13758847,Argyle Street,residential
13763475,Caer Street,tertiary
13763689,Princess Way,tertiary
13768368,Argyle Street,residential
13768372,Argyle Street,unclassified
13851048,Dunvant Place,unclassified
13901102,Vincent Street,pedestrian
13901133,Rodney Street,pedestrian
14359993,Duke Street,residential
14359996,Russell Street,residential
14360058,Henrietta Street,residential
14360093,George Street,residential
14360316,Pleasant Street,residential
14360505,Wyndham Street,residential
15219108,Spring Terrace,residential
15219111,Gethin Street,unclassified
15219120,Madoc Street,residential
15238951,Bryn-y-mor Road,tertiary
15243755,Fleet Street,residential
15243758,Fleet Street,pedestrian
15243952,Oxford Street,residential
15243960,Richardson Street,residential
15243982,Richardson Street,residential
15243989,Richardson Street,residential
15589505,Richardson Road,residential
15805376,Kings Lane,pedestrian
15805389,Temple Street,pedestrian
15805405,Whitewalls,pedestrian
15806977,Singleton Street,tertiary
15807214,Craddock Street,residential
15807223,Plymouth Street,unclassified
15807226,Upper Union Street,pedestrian
15807231,Nelson Street,unclassified
17238182,The Strand,tertiary
17238246,The Strand,tertiary
17353723,Portland Street,pedestrian
17353784,Park Street,unclassified
17353804,Portland Street,unclassified
17364035,Bellevue Way,secondary
17364094,Bellevue Way,secondary
19532368,Clarence Terrace,residential
19588990,Oxford Street,residential
19869689,Paxton Street,residential
19869695,Recorder Street,residential
19869702,Bathurst Street,residential
21553911,Orchard Street,tertiary
21553987,Bridge Street,primary
21554037,Upper High Street,secondary
21554059,High Street,secondary
22650788,Calvert Terrace,residential
22650815,Oaklands Terrace,residential
22650820,Carlton Terrace,residential
22652380,Penmaen Terrace,residential
22652390,Rosehill Terrace,residential
22652394,Montpelier Terrace,residential
22677529,Pell Street,residential
22677530,Horton Street,residential
22733437,Quay Parade,primary
22751907,Furze Bank,residential
22751911,Craddock Street,residential
22751913,Willows Place,residential
22751937,Verandah Street,pedestrian
22751938,Verandah Street,residential
22751944,Page Street,pedestrian
22751945,Page Street,residential
22752261,Brunswick Street,tertiary
22752300,Christina Street,secondary
22772326,Beach Street,residential
22772327,Beach Street,residential
22775563,Fleet Street,residential
22775566,Fleet Street,residential
22775567,Rodney Street,residential
22821920,Mansel Street,primary
22883401,Norfolk Street,residential
22883463,Stanley Place,residential
22883470,Stanley Terrace,residential
22885392,Stanley Place,residential
22885401,Rhondda Street,residential
22885405,Cromwell Street,residential
22885426,Harcourt Street,residential
22885440,Primrose Street,residential
22963000,Constitution Hill,residential
22964000,Hewson Street,residential
22974101,William Street,residential
22974103,William Court,residential
22974105,William Court,residential
22974106,Clarence Street,residential
22974116,William Street,pedestrian
22974118,William Street,residential
23035872,De La Beche Street,primary
23035876,Grove Place,primary
23036223,Ebenezer Street,unclassified
23044797,Ivey Place,unclassified
23107884,Vaughan Thomas Lane,residential
