@id,name,highway
4686565,Waunarlwydd Road,residential
4686567,Bruce Road,unclassified
4686568,Kingsway,unclassified
4697612,Carmarthen Road,residential
4697613,Ystrad Road,unclassified
5530782,Cwmbach Road,secondary
5712265,Gendros Crescent,tertiary
10231352,Ravenhill Road,tertiary
10298183,Middle Road,tertiary
10305001,Heol y Cwmdu,unclassified
10311095,Llwyn Teg,residential
10311124,Llwyn Teg,residential
10633409,Middle Road,tertiary
23612239,Pontarddulais Road,primary
23612325,Carmarthen Road,primary
23612610,Upper Gendros Crescent,tertiary
23612657,Station Road,primary
23612822,Carmarthen Road,secondary
24628555,Carmarthen Road,primary
24652294,Titanium Road,unclassified
25537912,Pen-llwyn-march Road,residential
25537914,Gendros Avenue West,residential
25537916,Upper King's Head Road,residential
25537983,Ffordd-y-Brain,residential
25537984,Heol Calfin,residential
25538273,Queensway,unclassified
25653232,Middle Road,tertiary
25653233,Rhos Road,residential
25653234,St. Peter's Terrace,residential
25789602,Lôn Cothi,residential
25789606,Graiglwyd Road,residential
25789610,Gors Avenue,tertiary
25789612,Geiriol Road,residential
25789615,Brynffordd,residential
25789616,Bryn y Clochydd,residential
25816081,Goronwy Road,residential
25816229,Gendros Avenue East,residential
25816231,Samuel Crescent,residential
25936848,Stepney Road,residential
25939693,Webbons Way,unclassified
26195642,Haulwen Road,residential
26195643,Down Leaze,residential
26195644,Down Leaze,residential
26195645,New Road,residential
26415347,Carmarthen Road,residential
26566171,Geiriol Gardens,residential
26566173,Gwynfor Road,residential
26822125,Armine Road,residential
26822126,King's Head Road,residential
26841958,Railway Terrace,residential
26841959,Bryn-Glas Road,residential
26841961,Brick Yard Road,residential
27609157,Bryn-Amlwg Road,residential
27609158,Ael-Y-Bryn Road,residential
27609159,Martell Street,residential
27616480,Pontarddulais Road,primary
27616482,Pontarddulais Road,primary
27616490,Carmarthen Road,primary
27616491,Carmarthen Road,primary
27625269,Church Gardens,residential
27947412,Llwynmawr Road,unclassified
28503443,Gelli'r Rhedyn,residential
28871869,Waunarlwydd Road,unclassified
28871870,Waunarlwydd Road,unclassified
28871871,Ystrad Road,tertiary
28871872,Llwynmawr Road,unclassified
28871873,Waunarlwydd Road,unclassified
29047129,Station Road,primary
29047130,Station Road,primary
32298544,John Street,residential
32298621,Alden Drive,residential
32298691,Down Leaze,residential
32298881,Glasfryn Close,residential
32298983,Glasfryn Close,residential
32300247,Waunarlwydd Road,residential
32446222,Felin Fach,unclassified
32446223,Prydwen Road,unclassified
32446224,Jubilee Court,unclassified
32446225,Corporation Road,unclassified
35471207,Cefn Coed Crescent,residential
35471209,Lôn Teify,residential
35471210,Graiglwyd Road,residential
35471218,Brynffordd,residential
35471219,Charlotte Court,residential
35471222,Charlotte Court,residential
35471225,Meadow Rise,residential
35471226,Meadow Rise,residential
35471227,Meadow Rise,residential
35471228,Sunnymead Close,residential
35471229,Sunnymead Close,residential
35471230,Eastfield Close,residential
35471231,Eastfield Close,residential
35471232,Clos yr Ael,residential
35471234,Clos yr Allt,residential
35471235,Clos yr Allt,residential
35471236,Brynffordd,residential
35471238,Clos yr Eglwys,residential
35471239,Clos yr Eglwys,residential
35471241,Elphin Crescent,residential
35471243,Gors Avenue,tertiary
35471244,Gors Avenue,tertiary
35471245,Gors Avenue,tertiary
35471246,Gors Avenue,tertiary
35471247,Brynffordd,residential
35682714,Lôn Irfon,residential
35770752,Clos yr Ael,residential
41464801,Cockett Road,primary
41467048,Carmarthen Road,primary
41467051,Pontarddulais Road,primary
41467052,Ffordd Cynore,secondary
41467053,Gendros Crescent,tertiary
41467054,Ravenhill Road,tertiary
41467055,Ravenhill Road,tertiary
41467056,Carmarthen Road,primary
41467058,Middle Road,residential
41495382,Upper King's Head Road,residential
41495384,Upper Gendros Crescent,tertiary
41495388,Upper King's Head Road,residential
41495389,Upper King's Head Road,residential
41495390,Middle Road,tertiary
41523000,Gwynedd Avenue,residential
41882293,Cockett Road,primary
45063955,Ystrad Road,tertiary
47702055,Moorview Road,residential
49364083,Lancaster Court,residential
49364086,Cranfield Court,residential
49364092,Hatfield Court,residential
49364095,Cantref Court,residential
49364099,Burgley Court,residential
49364118,Maes y Felin,residential
49364119,Maes Y Parc,residential
49364120,Maes Y Parc,residential
49364122,Latimer Court,residential
49364127,Badminton Gardens,residential
49837488,Ystrad Road,tertiary
49837489,Ystrad Road,tertiary
49988590,Corporation Road,unclassified
50236803,Cil y Coed,residential
51009388,Denver Road,residential
51009389,Denver Road,residential
51193718,Carmarthen Road,secondary
51193720,Ystrad Road,tertiary
51492950,Gelli'r Rhedyn,residential
51492953,Gelli Deg,residential
51492955,Gelli Deg,residential
51492956,Llwyn Teg,residential
51492963,Gelli Deg,residential
51492964,Pant yr Helyg,residential
51492965,Pant yr Helyg,residential
52110713,Heol Islwyn,residential
52110715,Llwyn Teg,residential
52110717,Heol Iscoed,residential
52110718,Heol Iscoed,residential
54964886,Pen Y Cwm,residential
