@id,name,highway
4597295,Carmarthen Road,primary
4597296,Carmarthen Road,primary
4697611,Pentregethin Road,tertiary
10633408,Manselton Road,tertiary
23612227,Courtney Street,unclassified
23612562,St. John's Road,tertiary
24269947,Mansel Terrace,tertiary
24269951,Courtney Street,residential
24269953,Robert Street,residential
24269954,Eaton Road,tertiary
24269957,Richard Street,residential
24272154,Cecil Street,residential
24272165,Phillip Street,residential
24272167,Compass Street,residential
24272168,Millwood Street,residential
24376045,Manor Road,residential
24376065,Major Street,residential
24376211,Richard Street,tertiary
24376234,Iorwerth Street,residential
24376313,Verig Street,residential
24465941,Penfilia Road,tertiary
24605515,Sydney Street,residential
24628552,Stepney Street,residential
24628553,Middle Road,residential
24628554,Middle Road,residential
24628555,Carmarthen Road,primary
24628557,Carmarthen Road,primary
24628558,Gwylym Street,residential
25538187,Pembroke Street,residential
25703397,Carmarthen Road,residential
25703408,Stepney Street,residential
25703734,Fern Street,residential
25705098,Robert Street,residential
25705105,Approach Road,tertiary
25816235,Maes Glas Road,residential
25816237,Brondeg,residential
25816242,Pegler Street,residential
25816244,Clare Street,residential
25816246,Miles Road,residential
26254808,Heol-y-Gors,tertiary
26254809,Heol-y-Gors,tertiary
26415405,Elgin Street,residential
26415411,Elgin Street,residential
26415416,Clare Street,residential
26415422,Walters Street,residential
26415434,Pwll-y-Domen Road,residential
26415436,Zouch Street,residential
26415740,Bohun Street,residential
26415742,Monterey Street,residential
26415760,Hopkins Street,residential
26415765,Bryn Street,residential
26433296,St. John's Road,tertiary
26437324,Kildare Street,residential
27615927,Highbury Close,residential
27616490,Carmarthen Road,primary
33514655,Brenig Road,residential
41436666,Pentregethin Road,tertiary
41464792,Carmarthen Road,primary
41467057,Pentregethin Road,tertiary
41495386,Middle Road,residential
45379017,Brynhyfryd Street,residential
45379024,Sylvia Terrace,residential
45379038,Ewart Place,residential
45379054,Weavers Mill,residential
45379059,Cross Street,residential
45379091,Llys y Felin,residential
45379095,Pleasant Row,residential
45379100,Frederick Street,residential
45379105,Freeman Street,residential
45379112,Brondeg Crescent,residential
45379114,Walters Street,residential
45379123,Caebricks Road,residential
45392333,Brondeg Crescent,residential
45392335,Spencer Street,residential
47267191,David Street,residential
47267401,Lynn Street,residential
48981704,Cae Rowland Street,residential
49364133,Llwyncethin Road,residential
49364138,Gerddi Alexander,residential
60852002,Pennard Street,residential
60852003,Penlan Fach,residential
60852052,Courtney Street,residential
61319765,Beattie Street,residential
61351052,Carmarthen Road,residential
61351057,Alice Street,residential
61351058,Phyllis Street,residential
61351059,Megan Street,residential
69906443,Lynsdale Road,residential
111495904,Stepney Mews,residential
120824308,Clos Burlais,residential
125332638,Middle Road,residential
125812399,Pentregethin Road,tertiary
125813056,Llys y Felin,residential
125865218,Pentregethin Road,tertiary
125865223,Gerddi Alexander,residential
125952333,Walters Street,residential
126064089,Pleasant Row,residential
126066313,Mansel Terrace,tertiary
126066314,Mansel Terrace,tertiary
126066315,Approach Road,tertiary
126066316,Courtney Street,unclassified
126066318,Courtney Street,residential
126066319,Approach Road,tertiary
129415375,Courtney Street,residential
131620262,Clos Arthur Morris,residential
161921017,Pentregethin Road,tertiary
233572670,Carmarthen Road,primary
233572672,Carmarthen Road,residential
233572674,Carmarthen Road,residential
355438286,Carmarthen Road,primary
355438287,Carmarthen Road,primary
355439990,Carmarthen Road,primary
355439991,Carmarthen Road,primary
382503059,Robert Street,residential
410929563,Fern Street,residential
616298375,Richard Street,residential
616298376,Brondeg,residential
616298377,Gwylym Street,residential
864958654,Fern Street,residential
989163788,John Charles Close,residential
1159252608,Carmarthen Road,primary
1159252609,Carmarthen Road,primary
1216056870,Carmarthen Road,primary
1387373156,Carmarthen Road,primary
1429549748,Pentregethin Road,tertiary
