@id,name,highway
4478688,Goetre Fawr Road,secondary
4478690,Dunvant Road,secondary
4481791,Y Berllan,residential
4486520,Dunvant Road,tertiary
4542896,Dunvant Square,secondary
4550177,Y Glyn,residential
4686511,Derlwyn,tertiary
4686512,Penallt,residential
4686513,Gwelfor,residential
5353722,Broadmead,tertiary
19785524,Pencoed,residential
19785545,Gwelfor,residential
22663182,Goetre Fach Road,tertiary
23243808,Dunvant Road,secondary
23243809,Dunvant Road,secondary
23888369,Y Gorlan,residential
23888370,Howells Road,residential
23888371,The Mead,residential
23888373,Hendrefoilan Road,residential
25789897,Brynaeron,residential
25789898,Meadow View,residential
25815996,Voylart Road,residential
25815998,Ddol Road,residential
26550955,Glan Dulais,residential
26550956,Goetre Bellaf,residential
26550957,Howells Road,residential
27314240,Priors Crescent,residential
27314241,Priors Way,residential
28382958,Brynaeron Court,residential
32264947,Killan Road,tertiary
32264948,Dunvant Road,tertiary
32264949,Fairwood Road,residential
35202359,Bryndolau,residential
35202360,Pen y Fro,residential
35202361,Pen y Fro,residential
35202362,Pen y Fro Close,residential
35202363,Brooklands Close,residential
35202364,Cefn Celyn,residential
35202365,Cefn Celyn,residential
35203432,Bryndolau,residential
35814467,Cyncoed Close,residential
36100305,Garrod Avenue,secondary
40301262,Ashgrove,residential
40301265,Bro Dirion,residential
40301266,Yr Elain,residential
40301267,Yr Aran,residential
40301268,Maes Yr Efail,residential
42919193,Bron Y Bryn,residential
54951415,Rhiwlas,residential
54951419,Curry Close,residential
54951422,Hendre,residential
54951430,Llys Teg,residential
54951436,Bro Dawel,residential
54951450,Llanerch Road,unclassified
54951459,Curry Close,residential
54951466,Curry Close,residential
54951487,Cae Crwn,residential
54951493,Bro Dedwydd,residential
54951494,Bro Dedwydd,residential
55220246,Dol-Y-Coed,residential
55220248,Dol-Y-Coed,residential
55220250,Priors Way,residential
55220252,Dol-Y-Coed,residential
55220255,Dol-Y-Coed,residential
55220257,Priors Way,residential
59434321,Goetre Fawr Road,secondary
59434323,Ddol Road,residential
59434329,Derlwyn,tertiary
59434332,Dunvant Road,tertiary
59434333,Derlwyn,tertiary
59434337,Killan Road,tertiary
59434339,Dunvant Road,tertiary
59434343,Dunvant Road,secondary
59434347,Dunvant Road,secondary
67691509,Plas Newydd,residential
67691514,Sunnybank,residential
67691542,Lon Killan,residential
67691546,Voylart Close,residential
67693745,Plas Newydd,residential
81025228,Heol Brython,residential
101552351,Dol-Y-Coed,residential
116907973,Walters Row,secondary
130047361,Cyncoed Close,residential
130148096,Hendre,residential
130148097,Bro Dedwydd,residential
130148098,Gwelfor,residential
130148101,Yr Elain,residential
130148117,Yr Aran,residential
130148120,Rhiwlas,residential
130148121,Bro Dedwydd,residential
130148123,Y Glyn,residential
130148125,Y Glyn,residential
130148127,Gwelfor,residential
130148132,Hendre,residential
130149037,Goetre Bellaf,residential
130149045,Y Gorlan,residential
130155124,Highland Terrace,residential
131079325,The Mead,residential
132831047,Maes Yr Efail,residential
193497887,Ddol Road,residential
193497888,Ddol Road,residential
243539174,Walters Row,secondary
797239027,Ddol Road,residential
916580603,Dunvant Road,tertiary
916580604,Dunvant Road,secondary
916580605,Dunvant Road,secondary
935013990,Dunvant Road,secondary
935013991,Goetre Fawr Road,secondary
1253285000,Walters Row,secondary
@id,name,highway
4478688,Goetre Fawr Road,secondary
4486522,Wimmerfield Avenue,residential
4486523,Wimmerfield Drive,tertiary
4520755,Cygnet Close,unclassified
4520758,Dylan Road,residential
