@id,name,highway
24540472,West Street,secondary
25703167,Gorseinon Road,primary
25703175,High Street,primary
31553549,Bryn Road,residential
31553551,Frampton Road,tertiary
31553552,Pencaecrwn Road,residential
32877651,Heol Dylan,residential
32877652,Heol Cynan,residential
32877653,Heol Nantlais,residential
32877654,Heol Cynan,residential
32877660,Heol Nantlais,residential
32877661,Heol Cynan,residential
32877663,Heol Cynan,residential
32877735,Pen-Cefn-Arda Road,unclassified
32877736,Penyrheol Road,residential
32877738,Gowerview Road,residential
32877742,Sunningdale Drive,residential
32877744,Westgrove Court,unclassified
32877753,Westgrove Court,unclassified
32877762,Heol Elfed,residential
32877765,Heol Gwili,residential
32877766,Heol Gwili,residential
32877772,Heol Dyfed,residential
32877798,Heol Crwys,residential
32877808,Heol Islwyn,residential
32877811,Heol Islwyn,residential
32877814,Clos Vernon Watkins,residential
32877827,Clos Vernon Watkins,residential
32877829,Penybanc Lane,residential
32877830,Clos Vernon Watkins,residential
32877847,Brynteg Road,residential
32877851,Grove Street,residential
32877862,Llanerch Crescent,residential
32877864,Bryn Close,residential
32877868,Bryn Close,residential
32877928,Brunant Road,residential
32877929,Heol y Mynydd,tertiary
32877933,Lime Street,tertiary
32906601,Llys Brynteg,residential
33391170,Princess Street,residential
33391406,Brynawel Road,residential
33391580,Brynhyfryd Road,residential
33391731,Heol Gwenallt,residential
33391732,Heol Gwenallt,residential
33391739,Heol Gwenallt,residential
33391890,Rufus Lewis Avenue,residential
33391897,Brynffynnon Road,residential
33391930,Llys y Werin,residential
33392245,Brynamlwg Road,residential
33393134,Brynafon Road,residential
33393150,Pleasant Close,residential
33393177,Saron Close,residential
33393189,Brookfield Close,residential
33393191,Mabon Close,residential
33393196,Cobham Close,residential
33393211,Fernhill Road,unclassified
33393811,Bryneithin Road,residential
33393818,Bryncelyn Road,residential
33425215,Cecil Road,residential
33434048,Brighton Road,residential
33434059,Cae Glas,residential
33434060,Cae Glas,residential
33434082,Llys Dewi Sant,residential
33434563,Cecil Road,residential
33434575,Lon y Felin,residential
33434617,Cecil Road,unclassified
33435575,Bryngwastad Road,residential
33436006,Clôs Brynafon,residential
33995204,Maple Close,residential
33995211,Maple Close,residential
33995214,Bryn Einon Road,residential
33995216,Bryn Einon Road,residential
33995291,Clos Cwrt y Carne,residential
33995295,Rowan Close,residential
33995311,Chestnut Avenue,residential
33995315,Chestnut Avenue,residential
33995337,Beech Crescent,residential
33995343,Grenfell Avenue,residential
33995352,Cedar Avenue,residential
33995402,Clos y Banc-yr-Eithin,residential
33995411,Banc-yr-Eithin,residential
33995420,Blackhill Road,residential
33995422,Ash Grove,residential
33995425,Ash Grove,residential
33995433,Elm Grove,unclassified
33995439,Llys Gwynfaen,residential
33995445,Llys Gwynfaen,residential
33995453,Heol Nant-y-Cwm,residential
33995454,Heol Nant-y-Cwm,residential
33995458,Clôs Morfa,residential
33995460,Clôs Morfa,residential
34208592,Llys Gwynfaen,residential
34261412,Ffordd Eira,unclassified
34261414,Ffordd Eira,residential
34261444,Howards Way,residential
34261445,Nicholas Court,residential
34261447,Nicholas Court,residential
34261450,Howards Way,residential
34261453,Megan Close,residential
34261454,Megan Close,residential
34261456,Heol Eifion,residential
34261460,Heol Eifion,residential
34261477,Heol Ffion,residential
34261479,Heol Ffion,residential
34261481,Heol Ffion,residential
34261488,Cwrt Rhian,residential
34261489,Clôs Delyth,residential
34261500,Cwrt Rhian,residential
34261561,Railway Terrace,unclassified
34261591,Lime Street,residential
34261594,Lime Street,residential
34261611,Cross Street,residential
34261612,Cross Street,residential
34261696,Libanus Road,residential
34261697,Trinity Street,residential
34261700,Trinity Street,residential
34261701,Trinity Street,residential
34261706,Tredegar Road,residential
34261715,Tredegar Road,residential
34261828,Millers Drive,tertiary
34261832,Ffordd yr Afon,residential
34261837,Ffordd yr Afon,residential
34261867,Glan yr Afon,residential
34261871,Moorland Green,residential
34261873,Moorland Green,residential
34261874,Village Drive,residential
34261897,Six Mills Avenue,residential
34261898,Heol Banc y Felin,residential
34598537,Bryngolau,residential
34598672,Brownhills,residential
34598683,Brownhills,residential
34598870,Heol Pentre Bach,residential
34598874,Heol Pen y Cae,residential
34598876,Heol Pen y Cae,residential
