@id,name,highway
10594618,Heol Pentre-Felen,tertiary
10594619,Heol Waun Wen,residential
10594620,Maes Sant Teilo,residential
10594621,Clos Sant Teilo,residential
10594623,Heol Waun Wen,residential
23388847,Rhydypandy Road,unclassified
25703313,Clasemont Road,primary_link
26551103,Bryntywod,unclassified
27639437,Pant Lasau Road,tertiary
33536488,Brynhyfryd,residential
33536489,Brynhyfryd,residential
33536500,Ffordd Y Goedwig,residential
33536501,Fael Fan,residential
33536502,Tro Tircoed,residential
41475679,Swansea Road,secondary
41475681,Clasemont Road,primary
41475682,Clasemont Road,primary_link
41494413,Clasemont Road,primary
49233190,Y Berllan,residential
49233191,Y Berllan,residential
49233192,Cae Melyn,residential
49233193,Cae Melyn,residential
49233194,Llysgwyn,residential
49233195,Y Dolau,residential
49233196,Y Dolau,residential
49233198,Brynglas,residential
49233199,Delfan,residential
49233200,Delfan,residential
49233202,Llysgwyn,residential
49233205,Y Waun Fach,residential
49233207,Pant-y-Blodau,residential
49233209,Y Wern,residential
49233211,Cae Eithin,residential
49233212,Cae Eithin,residential
49233213,Cae Penpant,residential
49233215,Cae Penpant,residential
49233219,Maes y Dderwen,residential
49233226,Cae Eithin,residential
49233227,Cae Eithin,residential
49233228,Cae Penpant,residential
49233234,Cae Penpant,residential
49234467,Bryncelyn,residential
49234468,Bryncelyn,residential
49234470,Ffordd Dewi,residential
49234471,Bryn Hedydd,residential
49234473,Bryn Hedydd,residential
49234474,Clos Waun Wen,residential
49234477,Parc y Delyn,residential
49234478,Cae Crug,residential
49234479,Ffordd Dewi,residential
49234480,Heol Waun Wen,residential
49234481,Heol Waun Wen,residential
49234482,Heol Waun Wen,residential
49234483,Clos Waun Wen,residential
49234486,Bryn Rhosyn,residential
49234487,Bro Dawel,residential
49234488,Bro Dawel,residential
49234490,Llys Penpant,residential
49234491,Bryn y Gors,residential
49234492,Pen y Maes,residential
49234493,Pen y Maes,residential
49234494,Yr Hafod,residential
49532796,Bryntywod,residential
49532799,Heol y Ddraig,unclassified
61351085,Penplas Road,unclassified
68914098,Heol Fach,residential
68914099,Pengors Road,residential
68914101,Fairview Road,residential
69409085,Llys Sant Teilo,residential
70948632,Pengors Road,residential
130006533,Y Llwyni,residential
133208001,Heol y Geifr,unclassified
133208003,Heol y Geifr,unclassified
133208005,The Close,residential
133208007,Heol y Geifr,unclassified
160839153,Heol y Ddraig,unclassified
194817304,Clasemont Road,primary
194817305,Clasemont Road,primary
194817306,Heol y Geifr,unclassified
194817308,Heol y Geifr,unclassified
194817309,Heol y Geifr,unclassified
194817315,Rhydypandy Road,unclassified
194817316,Rhydypandy Road,unclassified
194817317,Swansea Road,secondary
245796095,Llys Pentrefelen,residential
434978206,Heol y Ddraig,unclassified
511552930,Ffordd Parc Felindre,unclassified
988279600,Swansea Road,secondary
988279601,Swansea Road,secondary
988279602,Heol Fach,residential
1071238697,Heol Fach,residential
1087032821,Rhydypandy Road,unclassified
1223897224,Swansea Road,secondary
1223897225,Swansea Road,secondary
1223897226,Swansea Road,secondary
1223897227,Swansea Road,secondary
1223897228,Swansea Road,secondary
1223897229,Swansea Road,secondary
1253287493,Swansea Road,secondary
