@id,name,highway
7817461,Ferryboat Close,unclassified
7817464,Fendrod Way,tertiary
7817466,Fendrod Way,tertiary
7817471,Morganite Roundabout,primary
7817473,Valley Way,tertiary
10633412,Samlet Road,primary
10633413,Bran Close,unclassified
10639389,Lon Enfys,residential
10639390,Bethel Road,tertiary
22776220,Ffordd Tregof,unclassified
22779008,Upper Fforest Way,unclassified
22779010,Upper Fforest Way,unclassified
22779011,Heron Way,unclassified
22779012,Riverside Roundabout,secondary
22885241,Trallwn Road,tertiary
23036340,Peniel Green Road,primary
23036343,Walters Road,tertiary
23036344,Walters Road Roundabout,secondary
23211177,Valley Way,tertiary
23639880,Peniel Green Road,primary
24416775,Llwyn Crwn Road,residential
24416776,Station Road,residential
24628685,Mill Stream Way,unclassified
24645303,Lon Heddwch,residential
24645304,Y Gefnen,residential
24645305,Rhyd y Felin,residential
24645306,Maes Yr Haf,residential
24645307,Heol Hafdy,residential
24645308,Frederick Place,residential
24645309,Glan Y-Wern Road,residential
24645310,Tyn y Waun,residential
24651997,Midland Place,residential
24651999,Ffordd Llundain,residential
24758011,Pen-y-fan,residential
24758012,Heol Cae Glas,residential
24758013,Maes-lan,residential
24758014,Summer Place,residential
24758031,Church Road,tertiary
25745201,Valley Way,tertiary
25745219,Samlet Road,primary
25745241,Clase Road,primary
25745269,Upper Fforest Way,unclassified
25816303,Saint David's Road,unclassified
25936854,Lion Way,unclassified
26170705,Clarion Close,unclassified
26170706,Camffrwd Way,unclassified
26170710,Kemys Way,unclassified
26431920,Nantyffin Road,primary
26626086,Peniel Green Road,primary
27638217,Peniel Green Road,primary
27740931,Gwernllwynchwyth Road,unclassified
27741406,Maes y Deri,unclassified
30851874,Saint David's Road,unclassified
31013666,Peniel Green Road,primary
31259497,Castell Close,unclassified
38790937,Llys Llwyfen,residential
38790938,Llys Llwyfen,residential
40715856,Tower Court,unclassified
40715858,Fendrod Way,tertiary
40715860,Fendrod Way,tertiary
40715899,Saint David's Road,unclassified
44362699,Peniel Green Road,primary
44362701,Peniel Green Road,primary
44362703,Maes Yr Haf,residential
44362704,Maes Yr Haf,residential
44362705,Maes Yr Haf,residential
44362706,Heol Dalycopa,residential
44362707,Station Road,residential
44362708,Bethel Road,residential
44362709,Bethel Road,tertiary
44362710,Trallwn Road,tertiary
49537734,Maes y Deri,unclassified
50250535,Heol Hafdy,residential
50250537,Greenfield Crescent,residential
50250542,Heol Hafdy,residential
50250563,Lon Brynawel,residential
50250572,Lon Brynawel,residential
50250573,Bryn Teg,residential
50250574,Eileen Road,residential
50250575,Frederick Place,residential
68911232,Pant-y-Blawd Road,residential
68911233,Cwrt y Fedwen,residential
68911234,Clos yr Onnen,residential
68911235,Heol y Celyn,residential
68911238,Clos yr Hesg,residential
68911239,Clos yr Hesg,residential
68911241,Clos Cadno,residential
68911242,Clos yr Hesg,residential
68911244,Coed Ceirios,residential
68911248,Sycamore Avenue,residential
68911251,Ffordd y Wiwer,residential
70509113,Heron Drive,unclassified
70509126,Mallard Way,residential
74772567,Gwernllwynchwyth Road,residential
81403185,Mannesmann Close,unclassified
81403189,Cynon Close,unclassified
81403191,Melrose Close,unclassified
81403195,Dyffryn Close,unclassified
84931593,Llys Felin Newydd,unclassified
84931619,Coronet Way,unclassified
84931624,Minster Close,unclassified
84931626,Parc Landwr,unclassified
90446793,Maes-y-dderwen,residential
90446795,Tegfan,residential
90446800,Blaencwm Road,residential
90446802,Fair View Close,residential
90446804,Delfan,residential
90446806,Blaencoed Road,residential
90446807,Rhyd-y-glyn,residential
90446810,Heol Dalycopa,residential
90446814,Lon Ty'r Haul,residential
90446816,Clos Blaen Crymlyn,residential
90446818,Ffordd Dawel,residential
90446821,Lon Ty'r Haul,residential
90446823,Llwyn Brwydrau,residential
90446829,Lon Brynawel,residential
90446830,Heol Rhuddos,residential
90446834,Heol Pentyla,residential
90446837,Meadow View,residential
90446840,Lon Brynawel,residential
90446843,Troed-y-rhiw,residential
90446848,Clos yr Ysgol,residential
90446856,Clos Derwen,residential
90446860,Bryn Celyn,residential
90446861,Bryn Celyn,residential
90446863,Heol Gwanwyn,residential
90446867,Clos Derwen,residential
90446873,Clos yr Ysgol,residential
90446875,Meadow View,residential
91178032,Croeso'r Gwanwyn,residential
91178033,Clos Glan-y-wern,residential
91178035,Heol Elfed,residential
91178036,Clos Eileen Chilcott,residential
91178038,Tyn-y-cae Road,residential
91178040,Heol Gwili,residential
91178042,Llwyn Crwn Road,residential
91178045,Croeso'r Gwanwyn,residential
91178046,Clos Eileen Chilcott,residential
91178049,Lon Enfys,residential
91178054,Lon Enfys,residential
91178057,Dyffryn Aur Road,residential
91178058,Heol Elfed,residential
