@id,name,highway
4597219,Ynysforgan Roundabout,primary
10267102,Heol Maes Eglwys,tertiary
10267125,Heol Maes Eglwys,tertiary
10267131,Rhodfa Fadog,residential
10267137,Rhodfa Fadog,residential
10267158,Rhodfa Fadog,residential
10267345,Pant Lasau Road,tertiary
10267365,Clase Road,primary
10267448,Heol Maes Eglwys,tertiary
10267549,Heol Dyfan,residential
10270094,Andrew Crescent,residential
10270111,Orpheus Road,residential
10270121,Dee Place,residential
10270128,Heol Dolfain,residential
10270399,Bryntawe Road,residential
10270422,Rhodfa'r Eos,residential
10305212,Ffordd Cwm Tawe,primary
10305238,Ffordd Cwm Tawe,primary
10594628,Clyndu Street,tertiary
10594629,Morfydd Street,residential
10594630,Pentremalwed Road,residential
10594631,Aran Street,residential
10633404,Trewyddfa Road,residential
10639381,Mynydd Garnlwyd Road,residential
10639386,Beaufort Road,unclassified
12110831,Heol Y Fran,residential
12110833,Rhodfa'r Dryw,residential
15514901,Heol Yr Eryr,residential
20886419,Rhodfa'r Wennol,residential
20886430,Heol Y Drudwen,residential
20886439,Heol Y Drudwen,residential
20886444,Llwyn Yr Hebog,residential
20886450,Llwyn Y Golomen,residential
20886457,Llwyn Y Gog,residential
20886465,Heol Penfelyn,residential
20886477,Heol Yr Wylan,residential
20886480,Llwyn Y Bioden,residential
20886483,Llwyn Y Bioden,residential
20886493,Llwyn Carw,residential
20886499,Lon Draenog,residential
20886507,Llwyn Afanc,residential
20886516,Clos Cadno,residential
20886520,Cwrt Hydd,residential
20886527,Heol Cadnawes,residential
20886533,Cwrt Llwynog,residential
20886543,Heol Y Fran,residential
20886554,Clos Ebol,residential
20886563,Lon Penfro,residential
20886589,Clos Rhymni,residential
20886602,Clos Crucywel,residential
20886608,Cwrt Yr Aeron,residential
20886615,Clos Y Bont Faen,residential
20886642,Rhodfa'r Eos,residential
20886648,Llwyn Y Golomen,residential
20886664,Llwyn Yr Iar,residential
20886677,Heol Y Drudwen,residential
20886687,Llwyn Y Bioden,residential
20886697,Lon Draenog,residential
20886706,Cwrt Hydd,residential
20886715,Heol Y Fran,residential
21137918,Park Road,tertiary
21137919,Plas Cadwgan Road,residential
21137921,Wheatsheaf Drive,residential
21137924,Llanllienwen Road,unclassified
21140985,Maes-y-Gwernen Drive,residential
22416271,Clos Ebol,residential
22416288,Heol Glannant,residential
22416296,Butterslade Grove,residential
22416303,Heol Pennant,residential
22416309,Heol Glannant,residential
22416325,Garth View,residential
22416347,Ian's Walk,residential
22416355,Elizabeth Close,residential
22416362,Clydach Road,residential
22416371,Denbigh Crescent,residential
22416386,Radnor Drive,residential
22416409,Heol Treffynnon,residential
22416441,Monmouth Place,residential
22416446,Senny Place,residential
22416461,Cwrt Merlyn,residential
22416476,Christopher Road,residential
22416482,Harebell Close,residential
22416498,Clydach Road,residential
22416505,Usk Place,residential
22416518,Plas Gwernfadog Drive,residential
22530236,Heol Caerllion,residential
22530241,Heol Caerllion,residential
22567356,Clydach Road,secondary
22663188,Maes-y-Gwernen Road,residential
22674878,Clydach Road,secondary
22724492,Dan Danino Way,residential
22724493,Gordon Rowley Way,residential
22724494,Dan Danino Way,residential
22724495,Cyril Evans Way,residential
22724497,Cyril Evans Way,residential
22724499,Jessop Court,residential
22724523,Clasemont Road,primary
22724524,Vicarage Road,tertiary
22725230,Chemical Road,tertiary
22762272,Heol Maes Eglwys,tertiary
22762273,Heol Maes Eglwys,tertiary
22817144,Waun Road,residential
22820244,Cwmrhydyceirw Road,tertiary
23036373,Heol Saffrwm,residential
23036374,Heol Rhosyn,residential
23211184,Clydach Road,residential
23211185,Clydach Road,secondary
23612522,Llanllienwen Road,secondary
23613599,Clydach Road,secondary
23639878,Woodfield Street,secondary
23639879,Pentrepoeth Road,primary
23641945,Gwysfa Road,residential
23641946,Bryntawe Hall Close,residential
23641947,Bryntawe Hall Close,residential
23641948,Woodland Park,residential
23641949,Woodland Park,residential
23641950,Woodland Park,residential
23641951,Woodland Park,residential
23641955,Bwllfa Road,residential
23641957,Spion Kop Road,residential
23641963,Clydach Road,residential
23642081,Park Road,tertiary
23642082,Park Road,tertiary
23865970,Beaufort Road,unclassified
23887428,Ffordd Cwm Tawe,primary
23887429,Ffordd Cwm Tawe,primary
24307443,Mynydd Gelli Wastad Road,unclassified
24423863,Mynydd Gelli Wastad Road,unclassified
24628662,Heol Maes-Y-Gelynen,residential
24648063,Clos George Morgan,residential
24648064,Clos George Morgan,residential
24648066,Clos George Morgan,residential
24652160,Cwmbath Road,residential
24652165,Vicarage Road,tertiary
24652167,Parry Road,tertiary
24758139,Vicarage Road,residential
24758140,Heol Briallu,residential
24758141,Springfield Street,residential
24758142,Pleasant Street,residential
25745425,Morfydd Street,residential
25745430,Martin Street,secondary
25816299,Pleasant Street,residential
25816300,Rosemary Court,residential
26170701,Ash Street,residential
26170702,Tawe Street,residential
26170703,Wychtree Street,residential
