@id,name,highway
4586648,Mumbles Road,unclassified
4639819,Fairwood Road,tertiary
4639820,Mayals Road,secondary
10158749,Linden Avenue,residential
10306081,Newton Road,secondary
10306099,Newton Road,tertiary
10306516,Langland Road,secondary
10306618,Castle Avenue,residential
10306621,Castle Avenue,residential
10306651,Castle Road,residential
10306655,Castle Road,unclassified
10306662,Castle Square,residential
10306731,Norton Avenue,residential
10306732,Llanfair Gardens,residential
10306744,Hadland Terrace,residential
10306746,Brooklyn Gardens,residential
10306764,Glen Road,residential
10306775,Riversdale Road,residential
10424879,Higher Lane,tertiary
10425127,Thistleboon Road,tertiary
10425286,West Cross Lane,tertiary
10426284,Southlands Drive,residential
10426300,Cormorant Way,residential
10426316,Slade Road,residential
10426320,Sherringham Drive,residential
10426322,Newton Road,tertiary
10426324,Southward Lane,tertiary
10426689,Manselfield Road,tertiary
10426695,Murton Lane,tertiary
10580632,Elmgrove Road,residential
10580657,Woodland Avenue,residential
10594731,Mulberry Avenue,tertiary
10594783,Norton Road,residential
10596870,West Cross Avenue,residential
10647280,Clyne Crescent,residential
10647290,Muirfield Drive,residential
10647313,Sunningdale Avenue,residential
10647344,Clyne Close,residential
10683525,Alderwood Road,residential
10753214,Highpool Lane,residential
10753286,Highmead Avenue,residential
10753365,The Orchard,residential
10753515,Bramley Drive,residential
10753987,Curlew Close,residential
10754011,Wentworth Crescent,residential
10754466,Mumbles Road,primary
10754555,Mumbles Road,primary
10754572,Mumbles Road,primary
10754769,Llwynderw Drive,residential
10754869,Heneage Drive,residential
10754886,Heneage Drive,residential
10754950,Llwynderw Close,residential
10804348,Owls Lodge Lane,unclassified
10804370,Ashburnham Drive,residential
10804430,Radyr Avenue,residential
11085908,Mumbles Road,primary
11085915,Mumbles Road,primary
11085983,Mumbles Road,primary
11086192,Mumbles Road,primary
11354273,Clyne Drive,residential
11354404,Fernhill Close,residential
11354440,Fernhill Close,residential
11354493,Mulgrave Way,residential
11354519,Sherborne Walk,residential
11489488,Whitegates,residential
11489909,Whitegates,residential
11645875,Westport Avenue,residential
11645961,Saint Catwg Walk,residential
11646041,Willowbrook Gardens,residential
11648862,Caswell Drive,residential
11648867,Summerland Lane,residential
11648890,Woollacott Drive,residential
11685840,Limekiln Road,unclassified
12096024,Long Shepherds Drive,residential
12097560,Cypress Avenue,residential
12099312,Caswell Road,secondary
12102913,Clyne Common,secondary
12123086,Lady Housty Avenue,residential
12123230,Highpool Close,residential
12123406,Burnham Drive,residential
12123823,Lambourne Drive,residential
12124318,Alder Way,residential
12124726,Olive Road,residential
12125018,Cedar Crescent,residential
12125276,Mill Lane,residential
12272773,Osprey Close,residential
12313915,Summerland Road,unclassified
12503719,Heneage Drive,residential
12824357,Dunns Lane,residential
12827739,Southward Lane,secondary
12827766,Caswell Road,secondary
12827947,Caswell Avenue,residential
12828512,Picket Mead Road,residential
12828632,Picket Mead Road,residential
13438239,Nottage Road,residential
13438320,Nottage Road,residential
13438439,Saint Peter's Road,residential
13438734,Long Shepherds Drive,residential
13438923,Long Shepherds Drive,residential
13439579,Overland Road,residential
13439922,Oakland Road,residential
13440054,Overland Road,residential
13440466,Gloucester Place,residential
13483108,Llanfair Gardens,residential
13629811,Redwood Road,residential
13629889,Maytree Avenue,residential
13629915,Green Bank Road,residential
13629968,Birchfield Road,residential
13713150,Roman Bridge Close,residential
13713230,Roman Court,residential
13840199,Llys Le Breos,residential
13847193,Southerndown Avenue,residential
13847228,Birkdale Close,residential
14027793,Walters Crescent,residential
14295058,Mayals Green,unclassified
14295091,Westward Close,unclassified
14295186,Whitestone Close,residential
14295320,Green Close,residential
14295329,Green Close,residential
14296864,Grange Road,residential
14296954,Grange Crescent,residential
14296983,Brookvale Road,residential
14297041,Cartersford Place,residential
14297051,Cartersford Place,residential
14297179,Sycamore Road,residential
14297804,Baywood Avenue,residential
14297828,Heathwood Road,residential
14298297,Woodville Road,residential
14298372,King's Road,residential
14298466,Chapel Street,residential
14298480,Church Park Lane,unclassified
14298493,Upper Church Park,residential
