@id,name,highway
5712267,Long View Road,tertiary
5712268,Rheidol Avenue,tertiary
10594618,Heol Pentre-Felen,tertiary
10594622,Cwmgelli Road,residential
10594624,Maytree Close,residential
10633406,Heol Nant Gelli,residential
10639381,Mynydd Garnlwyd Road,residential
10639382,Llewelyn Park Drive,residential
24269954,Eaton Road,tertiary
24652169,Caemawr Road,tertiary
24652172,Mynydd Garnlwyd Road,tertiary
25836051,Long View Road,residential
26431708,Heol Gerrig,residential
26433301,Llangyfelach Road,secondary
26433305,Llangyfelach Road,secondary
26433307,Clasemont Road,primary
26551095,Roger Street,residential
26551100,Crwys Terrace,residential
26551101,Pengwern Road,residential
26821894,Glaslyn Place,residential
26821897,Beacons View Road,residential
26821898,Beacons View Road,residential
26821899,Beacons View Road,residential
26821900,Hill View Crescent,residential
26821901,Ewenny Place,residential
26821903,Ewenny Place,residential
26821904,Ewenny Place,pedestrian
26821905,Solva Road,residential
26821906,Creswell Road,residential
26821907,Severn Road,residential
26822123,Heol Penar,residential
26822206,Quarry Road,residential
26841785,Penlan Road,residential
26841832,Heol Fach,residential
26841834,Heol Fach,residential
27012163,Heol Ddu,tertiary
27046399,Garnlwyd Close,residential
27046400,Bryn Eglur Road,residential
27046401,Glasbury Road,residential
27046402,Gellifawr Road,residential
27046403,Gelli Gwyn Road,residential
27664445,Heol Hermas,residential
27664446,Plover Close,residential
27730601,Mynydd Garnlwyd Road,tertiary
27730612,Caemawr Road,tertiary
28486467,Gelli Aur,residential
40647079,Waltham Close,residential
40647080,Gellifach Crescent,residential
40647081,Gelli Glas Road,residential
40657799,Gelli Glas Road,residential
40657800,Waltham Close,residential
41015379,Second Avenue,residential
41015385,First Avenue,residential
41436659,Crwys Terrace,residential
41474516,Penfilia Road,tertiary
41474758,Llangyfelach Road,secondary
41474759,Penlan Road,residential
41474760,Llangyfelach Road,secondary
41474824,Cwmgelli Road,residential
41474829,Bryn Eglur Road,residential
41474831,Mynydd Garnlwyd Road,tertiary
