@id,name,highway
4586579,Westcliff,unclassified
4586581,Eastcliff,unclassified
5353721,Kittle Hill Lane,tertiary
10262979,Old Kittle Road,unclassified
10905059,Beaufort Drive,residential
10905066,Beaufort Gardens,residential
10905067,Beaufort Gardens,residential
10905071,Beaufort Drive,residential
10905073,Beaufort Gardens,residential
11084924,Belvedere Close,residential
11085007,Belvedere Close,residential
11085053,Belvedere Close,residential
11645276,Heatherslade Road,residential
11645344,Deepslade Close,residential
11645367,Deepslade Close,residential
11645451,Foxhole Drive,residential
11645487,Foxhole Drive,residential
11647373,Pennard Road,tertiary
14616431,Beaufort Drive,residential
16085955,Easterfield Drive,residential
16085994,Easterfield Drive,residential
16086012,Easterfield Drive,residential
16086030,Anderson Lane,residential
16086042,Anderson Lane,residential
16086069,Meadow Croft,residential
16086073,Meadow Croft,residential
16086129,Bendrick Drive,residential
16086197,The Drive,residential
16099083,Easterfield Drive,residential
16356030,Vennaway Lane,secondary
16356077,Southgate Road,tertiary
20136240,Kittle Green,unclassified
20136384,Kittle Green,unclassified
20136553,Kittle Green,unclassified
20305997,Southgate Road,unclassified
20444212,Linkside Drive,residential
20444335,Pennard Drive,residential
20444367,Pennard Drive,residential
20444434,Three Cliffs Drive,residential
20444446,Pennard Drive,residential
20444458,Pennard Drive,residential
20444477,Pennard Drive,residential
20444485,Pennard Drive,residential
20444513,Pennard Drive,residential
20444527,Pennard Drive,residential
20444605,Norton Lane,bridleway
20444872,Sandy Lane,residential
20445017,Sandy Lane,residential
20445043,Sandy Lane,residential
21000944,Norton Drive,residential
21001048,Norton Drive,residential
21555270,Park Road,residential
21555307,Burrows Close,residential
21555344,Browns Drive,residential
22663187,Beaufort Drive,residential
22943499,Burrows Close,residential
22945140,Eastcliff,unclassified
22945426,Burrows Close,residential
23622166,Pobbles Close,unclassified
25121614,Hael Lane,unclassified
30417623,Pennard Road,secondary
30417629,Pennard Road,secondary
30417644,Pennard Road,tertiary
30417647,Pennard Road,tertiary
30417653,Pennard Road,tertiary
32304619,Vennaway Lane,secondary
42973794,Pennard Road,secondary
42973796,Pennard Road,secondary
42975798,South Gower Road,primary
42975801,Blackhills Lane,unclassified
59148635,Pennard Drive,residential
59148639,Linkside Drive,residential
59148643,Linkside Drive,residential
59843176,Heatherslade Close,residential
60173948,Heatherslade Road,residential
63819362,Bosco Lane,residential
137491591,Pennard Road,tertiary
169502394,South Gower Road,primary
169502395,South Gower Road,primary
189643612,Sandy Lane,residential
189643613,Sandy Lane,residential
306492916,Westcliff,unclassified
306492928,Eastcliff,unclassified
306492929,Eastcliff,unclassified
306492930,Westcliff,unclassified
374480402,Kittle Hill Lane,tertiary
374888482,Eastcliff,unclassified
502761566,Sandy Lane,residential
890909597,Pobbles Close,residential
1152878168,Parc Llydan,residential
1184221784,Eastcliff,unclassified
1189392880,Parc Llydan,residential
1189392881,Parc Llydan,residential
1436416397,Kittle Hill Lane,tertiary
1436416398,Pennard Road,secondary
1436416399,Old Kittle Road,unclassified
1436416400,Kittle Hill Lane,tertiary
1436416401,Pennard Road,secondary
1444502382,Eastcliff,unclassified
1444502383,Eastcliff,unclassified
1447361232,Pennard Road,secondary
