@id,name,highway
24540305,Heol Glynhir,unclassified
24540307,Heol Y Waun,residential
24540308,Maes Teg,residential
24540469,Heol Alltiago,residential
24829652,Ty'n-y-Bonau Road,residential
25384141,Water Street,primary
25384719,St Teilo Street,primary
25722698,Caecerrig Road,unclassified
25723080,Saint Teilo Street,primary
25744920,Dulais Road,primary
25744921,Water Street,primary
25744922,Ty'n-y-Bonau Road,primary
25744926,Water Street,residential
26527897,Goppa Road,residential
26625926,Pentre Road,secondary
27616192,Heol-y-Maes,residential
27639849,Bolgoed Road,primary
33651083,High Street,residential
33651084,Woodville Street,residential
33651087,Glanffrwd Road,unclassified
33651089,Heol-Y-Cae,residential
33651090,Heol Glannant,residential
33651091,Heol Dantwyn,residential
33651093,Heol-Y-Coed,residential
33651094,Upper Mill Road,residential
33651095,Highland Terrace,residential
33651097,Cambrian Place,residential
33651098,New Road,residential
33651099,Bryn Road,residential
33651100,St Michael's Avenue,residential
33705273,Ffos Yr Efail Terrace,residential
33705275,Maesgwyn Drive,residential
33705278,Maesgwyn Drive,residential
33711484,Trinity Place,residential
33711485,Blaen Morfa,residential
33711487,Trinity Close,residential
33711488,Coedbach Road,residential
33711489,Glasfryn Road,residential
33711491,Glasfryn,residential
33711493,Park Close,residential
33711494,Park Close,residential
33711495,Wyndham Close,residential
33711496,Wyndham Close,residential
33711498,Ffordd Y Glowr,residential
33711500,Maes Morrison,residential
33711502,Maes Morrison,residential
33711504,Ffwrn Clai,residential
33711505,Ffwrn Clai,residential
33711506,Golwg Y Twr,residential
33711507,Golwg Y Twr,residential
33711508,Pen Y Pwll,residential
33711509,Ffordd Yr Odyn,residential
33711510,Golwg yr Eglwys,residential
33711511,Ffordd Yr Odyn,residential
33711512,Birch Rock Road,residential
33711514,Cwrt Rebecca,residential
33711515,Gorsaf Y Glowr,residential
33711516,Bolgoed Lane,residential
33711517,Nant-y-Ffin Road,residential
33711518,James Street,residential
33711519,Oakfield Street,residential
33711521,Twyniago,residential
33711522,Heol Glyn-llwchwr,residential
33711523,Heol Glyn-llwchwr,residential
33711524,Heol Glanyrafon,residential
33711525,Cross Street,residential
33711526,Heol Pantiago,residential
33711527,Bryniago,residential
33711528,Clos Pen Pant,residential
49309474,Stryd St Teilo,primary
49309480,Clos Maes yr Ysgol,residential
55045842,Allt Y Graban Road,unclassified
55045843,Allt Y Graban Road,unclassified
70509155,Gwenlais Road,unclassified
70511509,Twyniago,residential
107755355,Llys-Gwyn Terrace,residential
115122056,Water Street,primary
117220300,Clos Allt-y-Gog,residential
117220302,Clos Allt-y-Gog,residential
117220303,Clos Allt-y-Gog,residential
117220304,Gwynfryn Road,residential
117220305,Gwynfryn Road,residential
117220306,Park Terrace,residential
117220307,Clos Allt-y-Gog,residential
117220308,Llys Ger y Llan,residential
117882884,Llwyncelyn Avenue,residential
117882885,Garnswllt Road,unclassified
117882886,Cae-Gwyn Road,residential
117882888,Heol Wyllt,unclassified
117882891,Heol Glynteg,residential
117882892,Plasgwyn,residential
117882894,Upper Mill Road,residential
117882895,Ger-y-Pant,residential
117885030,Bryn Bach Road,unclassified
118713799,Teddington Place,residential
118713802,Clayton Drive,residential
118713804,Williams Street,residential
118713805,Myrtle Hill,residential
118713808,Maesgwyn Road,residential
118713810,Ffordd Cambria,residential
119335399,St Brides Close,residential
119335400,St Brides Close,residential
119767745,Bolgoed Road,primary
120995504,Vaughan Crescent,residential
120995509,Heol Daniel,residential
132816964,Tidal Reach,unclassified
132816968,Tidal Reach,unclassified
132816970,Tidal Reach,unclassified
133147927,Clayton Drive,residential
133148270,Nant Dawel,residential
161131237,Water Street,primary
161131239,St Teilo Street,primary
162280058,Water Street,primary
162280059,Water Street,primary
222696931,Caecerrig Road,unclassified
222696932,Ty'n-y-Bonau Road,primary
222696934,St Michael's Avenue,residential
222696935,Ty'n-y-Bonau Road,primary
222696936,Heol Caecerrig,unclassified
222696938,St Michael's Avenue,residential
225561227,Golwg y Llanw,residential
225561228,Golwg y Llanw,residential
241634995,Llys Morfa,residential
242604071,Napier Road,residential
286004912,Station Road,unclassified
340768037,Goppa Road,residential
340768038,Goppa Road,residential
354419464,Garnswllt Road,unclassified
354419466,Pant-y-Felin Road,residential
354419467,Pant-y-Felin Road,residential
354419468,Garnswllt Road,unclassified
354419469,Glanffrwd Road,unclassified
364257098,Tidal Reach,unclassified
364258402,Birch Rock Road,residential
364258408,Goppa Road,residential
364258410,Goppa Road,residential
364259328,Allt Y Graban Road,unclassified
597539846,Llys Morfydd,residential
597539848,Llys Morfydd,residential
597539849,Llys Morfydd,residential
597539850,Llys Morfydd,residential
686262056,Glynhir Road,unclassified
686280057,St Teilo Street,primary
686280058,Trinity Place,residential
1000528487,St Teilo Street,primary
1000528488,St Teilo Street,primary
1000528489,St Teilo Street,primary
1030449233,Allt Y Graban Road,unclassified
1189151052,Llys Morfydd,residential
1214337498,Heol Alltiago,unclassified
1214337499,Heol Alltiago,unclassified
1216629060,Heol Caecerrig,unclassified
1216629061,Heol Caecerrig,unclassified
1216629062,Heol Caecerrig,unclassified
1216629063,Heol Caecerrig,unclassified
1216629064,Heol Caecerrig,unclassified
1252943221,Pentre Road,secondary
1422510415,Pentre Road,secondary
