@id,name,highway
25744985,Swansea Road,primary
26551382,Clordir Road,unclassified
27639949,Bryntirion Road,primary
27639953,Swansea Road,primary
28045320,Bryntirion Road,primary
33536482,Derwlas,residential
33536483,Clos Cerdinen,residential
33536484,Clos Ger Y Maes,residential
33536485,Bryn Bach,residential
33536486,Nythfa,residential
33536487,Nant Glas,residential
33536488,Brynhyfryd,residential
33536490,Heol Tircoed,unclassified
33536491,Heol Tircoed,residential
33536492,Bron Afon,residential
33536493,Bron Afon,residential
33536494,Bron Afon,residential
33536495,Bron Afon Uchaf,residential
33536496,Y Cyswllt,residential
33536497,Llyn Tircoed,residential
33536498,Ffordd Ger y Llyn,residential
33536499,Ffordd Ger y Llyn,residential
33536500,Ffordd Y Goedwig,residential
33536501,Fael Fan,residential
33536502,Tro Tircoed,residential
33536503,Tegfan,residential
33536504,Clos Ger Y Bryn,residential
55045830,Carmel Road,unclassified
55045843,Allt Y Graban Road,unclassified
70509134,Heol-y-parc,residential
70509155,Gwenlais Road,unclassified
109177301,Ffordd Ger y Llyn,residential
109177311,Clos Ger Y Maes,residential
109177314,Heol Tircoed,residential
109177317,Heol Tircoed,residential
115028403,Vernon Close,residential
115028406,Christopher Rise,residential
115028415,Oaklands Road,residential
115028418,Clos Glanlliw,residential
115028423,Clos Glanlliw,residential
117885017,Y Llanerch,residential
117885019,Dillwyn Court,residential
117885021,Y Llanerch,residential
117885022,Heol-y-Twyn,residential
117885024,Woodfield Avenue,residential
117885025,Pant-y-Deri,residential
117885026,Heol Pant-y-Lliw,residential
117885027,Heol-y-Twyn,residential
117885030,Bryn Bach Road,unclassified
117885031,Bryn Road,residential
117885033,Heol y Waun,residential
117885034,The Dell,residential
117885035,Heol y Waun,residential
117885036,Y Llanerch,residential
117885037,Y Llanerch,residential
119767745,Bolgoed Road,primary
124541371,Heol y Barna,unclassified
137611784,Swansea Road,primary
137611787,Y Cyswllt,residential
137611788,Y Cyswllt,residential
294589631,Y Llanerch,residential
690880046,Bryntirion Road,primary
1025585685,Swansea Road,primary
1025585686,Swansea Road,primary
1030449232,Bryn Bach Road,unclassified
1253230264,Swansea Road,primary
