@id,name,highway
9527211,Ysgol Street,unclassified
9527212,Grenfell Park Road,residential
9527214,St. Leger Crescent,residential
9527215,Dring Street,residential
9527217,Kilvey Terrace,residential
11356355,Quay Parade,primary
11356367,Quay Parade,primary
11361673,East Bank Way,primary
11361974,Pentreguinea Road,primary
11362056,King's Road,tertiary
12624743,Port Tennant Road,tertiary
13637284,Delhi Street,residential
13860618,Wern Fawr Road,residential
13860628,Wern Terrace,tertiary
13860630,Port Tennant Road,tertiary
15215916,East Bank Way,primary
17342746,Miers Street,residential
17342783,Mackworth Terrace,residential
17342876,Benthall Place,residential
17342915,Pentreguinea Road,residential
17343128,Vicarage Terrace,residential
17343352,Maesteg Street,residential
17343481,Beaumont Crescent,residential
17343637,St. Elmo Avenue,residential
17343709,Granville Road,residential
17343940,Kinley Street,residential
20340937,Upton Terrace,residential
20341272,Osterley Street,residential
20662794,Middleton Street,residential
20887265,Harbour View Road,residential
20887282,Lee Street,residential
20887284,Margaret Street,residential
22338267,Gelli Street,residential
22338288,Grafog Street,residential
22338294,Jersey Terrace,residential
22598847,Vale of Neath Road,unclassified
22598862,Dan Y Graig Road,residential
22616534,Wern Terrace,tertiary
22649987,Monton Terrace,residential
22649994,Reginald Street,residential
22649997,Port Tennant Road,tertiary
22663183,Longford Crescent,residential
22751207,St. Illtyd's Crescent,residential
22752375,Ysgol Street,tertiary
22752378,Tymawr Street,residential
22752388,William Morris Gardens,residential
22752391,Crymlyn Street,residential
22752392,Pant Street,residential
22752522,Dan Y Graig Road,tertiary
22761636,Wallace Road,residential
22761638,Dupre Road,residential
22761649,Hoo Street,residential
22883684,Maes Street,residential
22883704,Lewis Street,residential
22883730,Sebastopol Street,residential
22883757,Inkerman Street,residential
22883770,Balaclava Street,residential
22884183,Morris Lane,residential
22885226,Tir John North Road,unclassified
22939875,Thomas Street,residential
22973759,Crymlyn Street,residential
23029167,Pentreguinea Road,residential
23035065,Ormsby Terrace,residential
23035068,Bay Street,residential
23042035,Gwynne Terrace,residential
23043574,Morris Lane,residential
23263314,Windmill Terrace,residential
23263358,Lydford Avenue,residential
23263362,Headland Road,residential
23263363,Kilvey Road,residential
23263367,Kilvey Road,unclassified
23263380,Deepglade Close,residential
23263400,Kilvey Road,unclassified
23263403,Foxhole Road,primary
23263712,Glenroy Avenue,residential
23263721,Elmhurst Crescent,residential
24043182,Pen Isa Coed,residential
24043190,Granville Road,residential
24043208,Jericho Road,residential
24652489,Robert Owen Gardens,residential
24652490,David Williams Terrace,residential
24936314,Margaret Street,residential
27640293,Fabian Way,trunk
28761575,Vale of Neath Road,unclassified
28998686,Fabian Way,trunk
32354188,Fabian Way,trunk
32354196,Fabian Way,trunk
33751151,Vale of Neath Road,unclassified
40350163,Port Tennant Road,tertiary
44167793,St. Illtyd's Crescent,residential
44167795,Dan Y Graig Road,tertiary
44167796,Port Tennant Road,tertiary
44167800,St. Leger Crescent,residential
44167801,Dan Y Graig Road,tertiary
44167802,Dan Y Graig Road,tertiary
44167803,Wern Terrace,residential
44362723,Delhi Street,residential
45396209,Robert Owen Gardens,residential
45396212,Gelli Grafog,residential
45396213,Ruston Road,residential
60419922,Fabian Way,trunk
96536483,Pentre-Chwyth Road,secondary
115654386,Baglan Street,residential
115654392,Dinam Road,unclassified
115654395,Bay View,residential
115654397,Monton Terrace,residential
121799518,Foxhole Road,primary
123934089,East Bank Way,primary
123934092,East Bank Way,primary
123934093,East Bank Way,primary
126851320,Marcroft Road,residential
126851321,Marcroft Road,residential
126851322,Marcroft Road,residential
126851323,Marcroft Road,residential
126851324,Marcroft Road,residential
126851325,Ruston Road,residential
132577836,East Bank Way,primary
135481702,Fabian Way,trunk
158717865,Wern Fawr Road,residential
158827830,Fabian Way,trunk
160132544,Port Tennant Road,tertiary
363743700,Fabian Way,trunk
451856035,East Bank Way,primary
510841455,East Bank Way,primary
616643918,Canaan Terrace (NE),bus_stop
628100335,Crymlyn Street,residential
808935232,Fabian Way,trunk
846740178,Fabian Way,trunk
846740179,Fabian Way,trunk
846740181,Port Tennant Road,tertiary
846740184,Port Tennant Road,tertiary
846740190,Fabian Way,trunk
925611364,Port Tennant Road,tertiary
957264353,Port Tennant Road,tertiary
957264356,Delhi Street,residential
957264357,Delhi Street,residential
957264358,East Bank Way,primary
957264359,East Bank Way,primary
957264360,Ship Inn,bus_stop
957264361,Delhi Street,residential
957264362,Delhi Street,residential
1078915988,Vale of Neath Road,unclassified
1217914834,Headland Road,residential
1217914835,Headland Road,residential
1359707867,Wern Fawr Road,residential
1417915419,Quay Parade,primary
1417915420,East Bank Way,primary
1417915421,East Bank Way,primary
1417915422,Delhi Street,residential
