@id,name,highway
4479884,Mumbles Road,primary
4542910,Ernald Place,residential
4542913,Glanbrydan Avenue,residential
4542914,Bernard Street,residential
4542915,Alexandra Terrace,residential
4542916,Rhyddings Terrace,residential
4542918,Marlborough Road,residential
4542921,Glanmor Road,tertiary
4570967,King Edward Road,tertiary
4570969,Westbury Street,tertiary
4570970,Gwydr Crescent,residential
4570972,Brunswick Street,tertiary
4697663,Park Place,residential
4697880,Bryn Road,tertiary
4697881,Gorse Lane,tertiary
5666756,St. Helens Avenue,residential
5666757,Francis Street,residential
5666758,St. Helens Crescent,residential
5666761,Guildhall Road South,secondary
5666763,Saint Helen's Road,residential
9473485,Townhill Road,tertiary
10755243,Aylesbury Road,residential
10755322,Finsbury Terrace,residential
10755374,St. Albans Road,residential
10805044,Waterloo Place,residential
10805092,Trafalgar Place,residential
10805112,De Breos Street,residential
10805136,Kemble Street,residential
10805330,Langland Terrace,residential
11177093,Canterbury Road,residential
11256692,Knoll Avenue,residential
11256718,Pant Y Gwydr Road,residential
11257026,Oakwood Road,residential
11354739,Rhyddings Terrace,residential
11355081,Richmond Terrace,residential
11355098,Uplands Terrace,residential
11355113,Mirador Crescent,residential
11355158,St James's Crescent,residential
11489999,Penbryn Terrace,residential
11490035,Malvern Terrace,residential
11651660,Chesshyre Street,residential
11679247,Beechwood Road,residential
12092674,Brynmill Crescent,residential
12504328,Guildhall Road South,secondary
12504949,Catherine Street,residential
13303728,Bay View Terrace,residential
13303904,Victoria Terrace,residential
13305270,Glanmor Crescent,residential
13305399,Hawthorne Avenue,residential
13305595,Victoria Street,residential
13305890,Pinewood Road,residential
13637603,Cambridge Street,residential
14359993,Duke Street,residential
14360058,Henrietta Street,residential
14605928,Brynmill Avenue,residential
15238951,Bryn-y-mor Road,tertiary
15243818,Bay View Crescent,residential
15243952,Oxford Street,residential
15399346,Osbourne Terrace,residential
15588984,Eaton Crescent,residential
15589073,Bonville Terrace,residential
15597665,Llythrid Avenue,residential
15598388,Windsor Street,residential
15904838,Caswell Street,residential
15905200,The Cloisters,unclassified
17364945,Edgeware Road,residential
17365356,Hazel Road,residential
17365486,Masefield Way,residential
20894397,Le Breos Avenue,residential
21990971,Walter Road,primary
21990974,Uplands Crescent,primary
22564929,Rhyddings Park Road,residential
22650036,Gwydr Square,residential
22650072,Penlan Crescent,residential
22650073,Cwmdonkin Drive,residential
22650080,Hillside Crescent,residential
22650084,Coults Hill,residential
22650087,Ffynone Road,residential
22650093,St. James's Gardens,residential
22650096,St. James's Gardens,residential
22650112,Richmond Road,residential
22650121,Cwmdonkin Terrace,residential
22650126,Clevedon Court,residential
22650146,Humphrey Street,residential
22650787,Hanover Street,residential
22650815,Oaklands Terrace,residential
22650816,Woodlands Terrace,residential
22652380,Penmaen Terrace,residential
22652386,Brooklands Terrace,residential
22652390,Rosehill Terrace,residential
22652394,Montpelier Terrace,residential
22652398,Burman Street,residential
22652400,Crole Street,residential
22652401,White Street,residential
22661553,Park Drive,residential
22661554,Eden Avenue,residential
22661555,Westfa Road,residential
22677120,Glanmor Park Road,residential
22677121,Maple Crescent,residential
22677122,Myrtle Grove,residential
22690353,Bullins Lane,residential
22690383,Belgrave Lane,residential
22690428,Glanbrydan Avenue,residential
