@id,name,highway
4686567,Bruce Road,unclassified
4697613,Ystrad Road,unclassified
10311259,Bryn Road,residential
24652294,Titanium Road,unclassified
26584531,Waunarlwydd Road,unclassified
26584579,Caer-Gynydd Road,residential
26584587,Westwinds Close,residential
26584597,Bevan Way,residential
26584621,Swansea Road,secondary
27885928,Dale Close,residential
27885933,Mynydd Bach y Glo,unclassified
28871869,Waunarlwydd Road,unclassified
28871870,Waunarlwydd Road,unclassified
28871871,Ystrad Road,tertiary
28871873,Waunarlwydd Road,unclassified
41463555,Waunarlwydd Road,unclassified
41463557,Swansea Road,secondary
44366149,Swansea Road,residential
44366150,Victoria Road,secondary
44366154,Bryn Road,secondary
48427746,Swansea Road,residential
48427748,Brithwen Road,residential
48427752,Derwen Close,residential
48427753,Derwen Close,residential
48427754,Derwen Close,residential
48427881,Swansea Road,secondary
48853033,Meadowcroft Close,residential
48853034,Bridge Road,unclassified
48853036,Bridge Road,unclassified
48853037,Stepney Road,residential
48853038,St Nicholas Close,residential
48853039,Westfield Road,residential
48853040,Westfield Road,residential
48853042,Meadowcroft Close,residential
48853046,St. Govan's Place,residential
48853051,Camrose Drive,residential
48853053,St Nicholas Close,residential
48853056,Heol Ceri,residential
48853061,Heol Cleddau,residential
48853062,Greenways,residential
48853064,Brithwen Road,residential
48853069,Hillbrook Close,residential
48853071,Hillbrook Close,residential
48853072,Hillbrook Close,residential
48903356,Bridge Road,unclassified
48905469,Bryn Road,secondary
48905508,Ash Grove,residential
49732261,Roseland Road,residential
49732266,Elm Close,residential
49732267,Elm Close,residential
49732269,Laurel Drive,residential
49732270,Ash Grove,residential
49732271,Birch Grove,residential
49732272,Birch Grove,residential
49732273,Birch Grove,residential
49732276,Laurel Drive,residential
49732277,Oak Drive,residential
49732278,Maple Drive,residential
49837488,Ystrad Road,tertiary
49837491,Titanium Road,unclassified
49837492,Titanium Road,unclassified
49988586,Foxgrove,residential
49988587,Mynydd Bach y Glo,unclassified
49988589,Mynydd Bach y Glo,residential
49988590,Corporation Road,unclassified
50236785,Login Road,residential
50236786,Login Road,residential
50236789,Clas-yr-Onnen,residential
50236792,Cwm Clyd,residential
50236793,Cwm Clyd,residential
50236795,Clas-yr-Onnen,residential
50236796,Clas-y-Deri,residential
50236801,Cwm Clyd,residential
50236803,Cil y Coed,residential
50236804,Cil y Coed,residential
50236806,Cil y Coed,residential
50236808,Cil y Coed,residential
50236809,Cil y Coed,residential
50437513,Clas-Y-Deri,residential
51008380,Sardis Close,residential
51008390,Barnabas Close,residential
51008395,Barnabas Close,residential
51008405,Clas-y-Bedw,residential
51008409,Clas-y-Bedw,residential
51008426,Rosewarne Close,residential
51008439,Cwm Clyd,residential
51008440,Cwm Clyd,residential
51008442,Foxgrove,residential
51008443,Dale Close,residential
51008445,Dale Close,residential
51086731,Westwinds Close,residential
51086736,Heol Will George,residential
51143365,Barnabas Close,residential
51143366,Sardis Close,residential
51143367,Bevan Way,residential
51143370,Rosewarne Close,residential
59652354,Swansea Road,residential
59652360,Swansea Road,secondary
125492784,Cwmbach Road,secondary
159215086,Bridge Road,unclassified
159215092,Roseland Road,residential
159215093,Roseland Road,residential
159215112,Ystrad Road,tertiary
159215113,Ystrad Road,tertiary
410929570,Titanium Road,unclassified
410929571,Swansea Road,residential
1253252076,Cwmbach Road,secondary
