osm_way_id,street_name,road_type,ward_code,ward_name,status
1000528487,St Teilo Street,primary,W05001062,Pontarddulais,not_started
1009930471,Salem Road,residential,W05001050,Landore,not_started
101453735,Mumbles Road,primary,W05001067,Uplands,not_started
101453735,Mumbles Road,primary,W05001068,Waterfront,not_started
101453737,Glamorgan Street,residential,W05001041,Castle,not_started
101453751,Oystermouth Road,primary,W05001041,Castle,not_started
101552351,Dol-Y-Coed,residential,W05001045,Dunvant_Killay,not_started
10158749,Linden Avenue,residential,W05001056,Mumbles,not_started
10159349,Murton Green Road,tertiary,W05001039,Bishopston,not_started
10159423,Manselfield Road,tertiary,W05001039,Bishopston,not_started
10159589,Oldway,tertiary,W05001039,Bishopston,not_started
10159674,Lime Kiln Lane,residential,W05001039,Bishopston,not_started
10159855,Tudor Way,residential,W05001039,Bishopston,not_started
10159906,Kilfield Road,residential,W05001039,Bishopston,not_started
10160219,Pyle Road,tertiary,W05001039,Bishopston,not_started
10160325,Bishopston Road,tertiary,W05001039,Bishopston,not_started
10160480,Church Lane,unclassified,W05001039,Bishopston,not_started
10160613,The Glebe,residential,W05001039,Bishopston,not_started
10160671,Wellfield,residential,W05001039,Bishopston,not_started
10160792,Providence Lane,unclassified,W05001039,Bishopston,not_started
10161011,School Lane,unclassified,W05001039,Bishopston,not_started
101906724,Jersey Road,primary,W05001040,Bon-y-maen,not_started
1019444421,Clydach Road,secondary,W05001055,Morriston,not_started
1019444430,Ynysforgan Roundabout,primary,W05001055,Morriston,not_started
1019444435,Ffordd Cwm Tawe,primary,W05001055,Morriston,not_started
10231352,Ravenhill Road,tertiary,W05001043,Cockett,not_started
10237816,South Close,residential,W05001039,Bishopston,not_started
10237985,Vensland,residential,W05001039,Bishopston,not_started
10238288,Gerret's Close,residential,W05001039,Bishopston,not_started
10238741,Caswell Bay Road,tertiary,W05001039,Bishopston,not_started
10238945,Hilland Drive,residential,W05001039,Bishopston,not_started
10243865,Eastlands Park,residential,W05001039,Bishopston,not_started
10244365,Whitestone Road,residential,W05001039,Bishopston,not_started
10244395,Whitestone Avenue,residential,W05001039,Bishopston,not_started
10244762,Hunter's Lane,bridleway,W05001039,Bishopston,not_started
10245076,Prince Of Wales Road,residential,W05001041,Castle,not_started
10245148,John Street,unclassified,W05001041,Castle,not_started
102481670,Maes Briallu,residential,W05001052,Llansamlet,not_started
102481677,Maes-yr-Awel,residential,W05001052,Llansamlet,not_started
1025585685,Swansea Road,primary,W05001063,Pontlliw_Tircoed,not_started
10259843,Pastoral Way,residential,W05001064,Sketty,not_started
10259848,Rural Way,residential,W05001064,Sketty,not_started
10259868,Rosemary Close,residential,W05001064,Sketty,not_started
10259913,Blackthorn Place,residential,W05001064,Sketty,not_started
10260001,Gwynedd Avenue,residential,W05001066,Townhill,not_started
10260148,Christina Street,secondary,W05001041,Castle,not_started
10262771,Brandy Cove Road,residential,W05001039,Bishopston,not_started
10262806,PwllDu Lane,residential,W05001039,Bishopston,not_started
10262844,Backingstone Lane,unclassified,W05001039,Bishopston,not_started
10262954,Brandy Cove Lane,unclassified,W05001039,Bishopston,not_started
10262979,Old Kittle Road,unclassified,W05001039,Bishopston,not_started
10262979,Old Kittle Road,unclassified,W05001061,Pennard,not_started
10267096,Quarr Road,tertiary,W05001042,Clydach,not_started
10267102,Heol Maes Eglwys,tertiary,W05001055,Morriston,not_started
10267131,Rhodfa Fadog,residential,W05001055,Morriston,not_started
10267345,Pant Lasau Road,tertiary,W05001055,Morriston,not_started
10267365,Clase Road,primary,W05001055,Morriston,not_started
10267549,Heol Dyfan,residential,W05001055,Morriston,not_started
10270094,Andrew Crescent,residential,W05001055,Morriston,not_started
10270111,Orpheus Road,residential,W05001055,Morriston,not_started
10270121,Dee Place,residential,W05001055,Morriston,not_started
10270128,Heol Dolfain,residential,W05001055,Morriston,not_started
10270399,Bryntawe Road,residential,W05001055,Morriston,not_started
10270422,Rhodfa'r Eos,residential,W05001055,Morriston,not_started
10275640,Woodside Close,residential,W05001039,Bishopston,not_started
10275648,Ridley Way,residential,W05001039,Bishopston,not_started
10275696,Broadmead Crescent,residential,W05001039,Bishopston,not_started
10275950,Ynys Newydd Road,residential,W05001064,Sketty,not_started
10297764,Eversley Road,residential,W05001064,Sketty,not_started
10297765,Frogmore Avenue,residential,W05001064,Sketty,not_started
10297766,Coed Saeson Crescent,residential,W05001064,Sketty,not_started
10297768,Hazelmere Road,residential,W05001064,Sketty,not_started
10297769,Grosvenor Road,residential,W05001064,Sketty,not_started
10297770,Sketty Avenue,residential,W05001064,Sketty,not_started
10298183,Middle Road,tertiary,W05001043,Cockett,not_started
10298184,Ffordd Cynore,secondary,W05001059,Penderry,not_started
10298186,Gors Avenue,tertiary,W05001066,Townhill,not_started
10298186,Gors Avenue,tertiary,W05001041,Castle,not_started
1030449232,Bryn Bach Road,unclassified,W05001063,Pontlliw_Tircoed,not_started
1030449233,Allt Y Graban Road,unclassified,W05001062,Pontarddulais,not_started
10304747,Northway Court,residential,W05001039,Bishopston,not_started
10304765,Northlands Park,residential,W05001039,Bishopston,not_started
10304801,The Chestnuts,residential,W05001039,Bishopston,not_started
10304902,Long Acre Court,residential,W05001039,Bishopston,not_started
10304910,Long Acre,residential,W05001039,Bishopston,not_started
10305001,Heol y Cwmdu,unclassified,W05001043,Cockett,not_started
10305104,Bridge Street,secondary,W05001041,Castle,not_started
10305146,Neath Road,secondary,W05001050,Landore,not_started
10305212,Ffordd Cwm Tawe,primary,W05001050,Landore,not_started
10305464,Headland Road,residential,W05001039,Bishopston,not_started
10305466,Headland Close,residential,W05001039,Bishopston,not_started
10305492,Middle Croft Lane,unclassified,W05001039,Bishopston,not_started
10305508,Pentre Mawr Road,tertiary,W05001050,Landore,not_started
10305508,Pentre Mawr Road,tertiary,W05001041,Castle,not_started
10305517,Ysgubor Fach Street,tertiary,W05001041,Castle,not_started
10305523,Langdon Road,tertiary,W05001068,Waterfront,not_started
10305824,St. Teilo's Court,unclassified,W05001039,Bishopston,not_started
10306081,Newton Road,secondary,W05001056,Mumbles,not_started
10306516,Langland Road,secondary,W05001056,Mumbles,not_started
10306618,Castle Avenue,residential,W05001056,Mumbles,not_started
10306651,Castle Road,residential,W05001056,Mumbles,not_started
10306662,Castle Square,residential,W05001056,Mumbles,not_started
10306731,Norton Avenue,residential,W05001056,Mumbles,not_started
10306732,Llanfair Gardens,residential,W05001056,Mumbles,not_started
10306744,Hadland Terrace,residential,W05001056,Mumbles,not_started
10306746,Brooklyn Gardens,residential,W05001056,Mumbles,not_started
10306764,Glen Road,residential,W05001056,Mumbles,not_started
10306775,Riversdale Road,residential,W05001056,Mumbles,not_started
10311095,Llwyn Teg,residential,W05001043,Cockett,not_started
10311259,Bryn Road,residential,W05001069,Waunarlwydd,not_started
1032762491,Rhianfa Gardens,residential,W05001067,Uplands,not_started
10357370,Copley Lodge,residential,W05001039,Bishopston,not_started
10357376,Copley Close,unclassified,W05001039,Bishopston,not_started
10357411,Tudor Court,residential,W05001039,Bishopston,not_started
103598245,Clasemont Road,primary,W05001057,Mynydd-bach,not_started
1036510204,Landor Drive,residential,W05001053,Llwchwr,not_started
1036510205,Taliesin Place,residential,W05001053,Llwchwr,not_started
1036510216,Rhodfa‘r Bedw,construction,W05001053,Llwchwr,not_started
1040247880,Lon Brynawel,residential,W05001052,Llansamlet,not_started
1041062391,Waun Fawr,residential,W05001055,Morriston,not_started
1041968584,Home Farm Way,residential,W05001060,Penllergaer,not_started
10424879,Higher Lane,tertiary,W05001056,Mumbles,not_started
10425127,Thistleboon Road,tertiary,W05001056,Mumbles,not_started
10425286,West Cross Lane,tertiary,W05001056,Mumbles,not_started
10426284,Southlands Drive,residential,W05001056,Mumbles,not_started
10426300,Cormorant Way,residential,W05001056,Mumbles,not_started
10426316,Slade Road,residential,W05001056,Mumbles,not_started
10426320,Sherringham Drive,residential,W05001056,Mumbles,not_started
10426324,Southward Lane,tertiary,W05001056,Mumbles,not_started
10426689,Manselfield Road,tertiary,W05001056,Mumbles,not_started
10426695,Murton Lane,tertiary,W05001056,Mumbles,not_started
1047710927,Derwen Fawr Road,secondary,W05001064,Sketty,not_started
